d,sigma,epsilon,alpha_1,rho,maximizing_m,gamma,status,log_C,log10_h,h_min,h_approx,alpha_max_refinement_difference,log10_h_refinement_difference
6,0.052556025953357156,0.1,0.02094274746295282,0.10435588914624433,6,1.4041847735261377,finite,2.33418557510831,1.447158031342219,28,2.800000e+1,6.938893903907228e-18,0.0
7,0.052556025953357156,0.1,0.02094274746295282,0.1251418813446442,7,1.15992529706075,finite,2.128310387803678,1.6627578316815739,46,4.600000e+1,6.938893903907228e-18,0.0
8,0.052556025953357156,0.1,0.02094274746295282,0.1458997461428649,8,0.9891698053625991,finite,2.003333078430115,1.8920946026904801,78,7.800000e+1,6.938893903907228e-18,0.0
3,0.0625,0.1,0.024893445688355366,0.04969049619076391,3,4.330886241600119,finite,6.743450267061979,0.9542425094393249,9,9.000000e+0,3.469446951953614e-18,0.0
4,0.0625,0.1,0.024893445688355366,0.07446386435819466,4,2.3642929723537787,finite,3.5084350610781683,1.0791812460476247,12,1.200000e+1,6.938893903907228e-18,0.0
5,0.0625,0.1,0.024893445688355366,0.09918967877585681,5,1.6668330907988917,finite,2.6584787328866413,1.301029995663981,20,2.000000e+1,6.938893903907228e-18,0.0
6,0.0625,0.1,0.024893445688355366,0.12386821042262322,6,1.2976810609510279,finite,2.2942787454215905,1.5440680443502754,35,3.500000e+1,6.938893903907228e-18,0.0
7,0.0625,0.1,0.024893445688355366,0.14849972739899076,7,1.0644130471707611,finite,2.100002146436342,1.7993405494535815,63,6.300000e+1,6.938893903907228e-18,0.0
8,0.0625,0.1,0.024893445688355366,0.1730844949755264,8,0.9013650472536866,finite,1.9824518190804565,2.0681858617461617,117,1.170000e+2,6.938893903907228e-18,0.0
3,0.07432544468767006,0.1,0.029583633060984167,0.05900583665049824,3,4.082998521906145,finite,6.473375946955086,0.9542425094393249,9,9.000000e+0,6.938893903907228e-18,0.0
4,0.07432544468767006,0.1,0.029583633060984167,0.08838866238850984,4,2.2082508962543264,finite,3.4033189742382755,1.1461280356782377,14,1.400000e+1,6.938893903907228e-18,0.0
5,0.07432544468767006,0.1,0.029583633060984167,0.11769228397135369,5,1.5434541779996152,finite,2.599278163568349,1.380211241711606,24,2.400000e+1,6.938893903907228e-18,0.0
6,0.07432544468767006,0.1,0.029583633060984167,0.1469173325768335,6,1.1916490838166764,finite,2.2558862334505947,1.6627578316815739,46,4.600000e+1,6.938893903907228e-18,0.0
7,0.07432544468767006,0.1,0.029583633060984167,0.17606443005452604,7,0.9693852891024024,finite,2.073397696382441,1.9637878273455551,92,9.200000e+1,6.938893903907228e-18,0.0
8,0.07432544468767006,0.1,0.029583633060984167,0.20513418914296802,8,0.8140617045305875,finite,1.96347081417269,2.276461804173244,189,1.890000e+2,6.938893903907228e-18,0.0
3,0.08838834764831845,0.1,0.03514782808274956,0.07002578128580222,3,3.8359700150684533,finite,6.205161517875046,1.0,10,1.000000e+1,6.938893903907228e-18,0.0
4,0.08838834764831845,0.1,0.03514782808274956,0.10483855932842717,4,2.0528931503003993,finite,3.299905683210777,1.2041199826559246,16,1.600000e+1,6.938893903907228e-18,0.0
5,0.08838834764831845,0.1,0.03514782808274956,0.13951992493489862,5,1.4207284629322887,finite,2.5419471403406124,1.4913616938342726,31,3.100000e+1,6.938893903907228e-18,0.0
6,0.08838834764831845,0.1,0.03514782808274956,0.17407133631512803,6,1.0862737055319447,finite,2.219598286853512,1.8129133566428552,65,6.500000e+1,6.938893903907228e-18,0.0
7,0.08838834764831845,0.1,0.03514782808274956,0.2084942218763573,7,0.8750303697995747,finite,2.049155595638363,2.1613680022349744,145,1.450000e+2,6.938893903907228e-18,0.0
8,0.08838834764831845,0.1,0.03514782808274956,0.24278998117540693,8,0.7274531586302181,finite,1.9471185415192724,2.537819095073274,345,3.450000e+2,6.938893903907228e-18,0.0
3,0.10511205190671431,0.1,0.041742407040051784,0.08303472321684012,3,3.5901414251587056,finite,5.93954195631,1.0,10,1.000000e+1,1.3877787807814457e-17,0.0
4,0.10511205190671431,0.1,0.041742407040051784,0.1242198541165585,4,1.8984880178029038,finite,3.198858985175493,1.2787536009528289,19,1.900000e+1,1.3877787807814457e-17,0.0
5,0.10511205190671431,0.1,0.041742407040051784,0.16518810450141344,5,1.2989091477536316,finite,2.4872053894721047,1.6020599913279623,40,4.000000e+1,1.3877787807814457e-17,0.0
6,0.10511205190671431,0.1,0.041742407040051784,0.20594280602242612,6,0.9818066153417998,finite,2.1862154719381297,1.9867717342662448,97,9.700000e+1,1.3877787807814457e-17,0.0
